index,appid,name,numPlayer,totalTime,price,avgTime(h)PerP,avgCostPerHourPerPerson
8831,531770,On bike Nurburgring Experience,10,3,0.99,0.005,198
11143,500940,Get The Gems,4,1,0.99,0.004166667,237.6
11398,365110,After All,4,1,0.99,0.004166667,237.6
10546,680120,The Moon Night,5,1,0.99,0.003333333,297
9815,528700,Cerdocornio,7,1,0.99,0.002380952,415.8
9831,311170,Moonlight Minions,7,1,0.99,0.002380952,415.8
8823,437660,Microcosmum: survival of cells - Colors for organisms,10,1,0.99,0.001666667,594
3066,388160,Project Druid - 2D Labyrinth Explorer-,129,3,0.99,0.000387597,2554.2
5382,655930,Merri Puzzle,42,0,0.99,0,inf
5880,661300,Radical Spectrum: Volume 2,33,0,0.99,0,inf
5886,576120,Purgatory II,33,0,0.99,0,inf
5894,678820,Gun-Running War Dogs,33,0,0.99,0,inf
6583,530240,Pixel-Warfare: Pro,25,0,0.99,0,inf
7140,664610,Gelu,20,0,0.99,0,inf
7545,339430,Darkness Assault - Soundtrack,17,0,0.99,0,inf
8018,689360,The Thirst of Hearts,14,0,0.99,0,inf
8264,679860,ZAP Master,13,0,0.99,0,inf
8325,614460,Amber Tail Adventure,12,0,0.99,0,inf
8547,333810,Way of the Samurai 4 - Scroll Set,11,0,0.99,0,inf
8698,602830,Hexaball,11,0,0.99,0,inf
8809,500100,Cubic complex,10,0,0.99,0,inf
8883,448230,AsteroidsHD,10,0,0.99,0,inf
9131,682910,No Lights,9,0,0.99,0,inf
9404,667360,Hooligan Vasja: Christmas,8,0,0.99,0,inf
9734,694970,Loading,7,0,0.99,0,inf
9771,654980,Inferno Puzzle,7,0,0.99,0,inf
10110,385520,NotGTAV: The Kickstarter Avoidance Album,6,0,0.99,0,inf
10116,667070,OHOTA KREPKOE,6,0,0.99,0,inf
10225,560960,Magic Tavern,6,0,0.99,0,inf
10253,647050,Super Hardcore,6,0,0.99,0,inf
10454,587210,Skull Rush,5,0,0.99,0,inf
10456,429040,Furfly,5,0,0.99,0,inf
10484,685020,Spacecraft,5,0,0.99,0,inf
10523,406920,Monsterland,5,0,0.99,0,inf
10541,589410,Dämmerlicht,5,0,0.99,0,inf
10751,388830,TribeQuest: Red Killer,5,0,0.99,0,inf
11192,517060,Day of the Trumplings,4,0,0.99,0,inf
11202,546960,Mechatroniks Attack,4,0,0.99,0,inf
11254,371350,Waste Walkers Prepper's Edition DLC,4,0,0.99,0,inf
11268,673780,Mad Arkanoid,4,0,0.99,0,inf
11474,656290,The Tritan Initiative,4,0,0.99,0,inf
11593,465190,Space Survival,4,0,0.99,0,inf
11607,608271,Re:ZERO -Starting Life in Another World-: Reunion with the Witch,4,0,0.99,0,inf
11637,546440,Sluggish Morss: Days of the Purple Sun,3,0,0.99,0,inf
11646,608272,Re:ZERO -Starting Life in Another World-: Starting Life from Zero in Another World,3,0,0.99,0,inf
11699,313210,Alpha Zylon,3,0,0.99,0,inf
11807,552950,Ninja Stealth - Supporter Edition,3,0,0.99,0,inf
11928,608273,Re:ZERO -Starting Life in Another World-: The Happy Roswaal Mansion Family,3,0,0.99,0,inf
11934,608274,Re:ZERO -Starting Life in Another World-: The Morning of Our Promise Is Still Distant,3,0,0.99,0,inf
11935,608276,Re:ZERO -Starting Life in Another World-: Natsuki Sabaru's Restart,3,0,0.99,0,inf
11936,608278,Re:ZERO -Starting Life in Another World-: The Meaning of Courage,3,0,0.99,0,inf
11939,608280,Re:ZERO -Starting Life in Another World-: Rem,3,0,0.99,0,inf
11969,636700,Crappy Day Enhanced Edition,3,0,0.99,0,inf
11990,691810,The Last Mission,3,0,0.99,0,inf
11992,608279,Re:ZERO -Starting Life in Another World-: Fanatical Methods Like a Demon,3,0,0.99,0,inf
12025,460890,Hare In The Hat: The Abyss,3,0,0.99,0,inf
12072,686690,Adventures Of Kok,3,0,0.99,0,inf
12089,685790,Ruthless Safari,3,0,0.99,0,inf
12102,531070,The Tower - Fantogame,3,0,0.99,0,inf
12110,548050,Runes,3,0,0.99,0,inf
12119,510070,Shiperoids,3,0,0.99,0,inf
12244,456040,Princess.Loot.Pixel.Again Soundtrack,3,0,0.99,0,inf
12247,608277,"Re:ZERO -Starting Life in Another World-: I Cried, Cried My Lungs Out, and Stopped Crying",3,0,0.99,0,inf
12254,608281,Re:ZERO -Starting Life in Another World-: Return to the Capital,3,0,0.99,0,inf
12259,660270,Space Scumbags,3,0,0.99,0,inf
12270,503710,Void,3,0,0.99,0,inf
12284,665230,Glowing Sokoban,3,0,0.99,0,inf
12291,689350,Ruin City Gasolina,3,0,0.99,0,inf
12329,693190,Survival driver 2: Heavy vehicles,3,0,0.99,0,inf
12357,659250,Panda Love,3,0,0.99,0,inf
12375,456120,Magdalena Soundtrack,3,0,0.99,0,inf
12389,608275,Re:ZERO -Starting Life in Another World-: The Sound of Chains,3,0,0.99,0,inf
12421,549780,Rainbow Rage Squad,3,0,0.99,0,inf
12443,641394,Miss Kobayashi's Dragon Maid: Tohru's Real World Lessons! (She thinks she understands it already.),2,0,0.99,0,inf
12479,608292,Re:ZERO -Starting Life in Another World-: Nefarious Sloth,2,0,0.99,0,inf
12486,608293,Re:ZERO -Starting Life in Another World-: The Self-Proclaimed Knight and the Greatest Knight,2,0,0.99,0,inf
12534,641391,"Miss Kobayashi's Dragon Maid: Second Dragon, Kanna! (We're Totally Spoiling Here)",2,0,0.99,0,inf
12547,608291,Re:ZERO -Starting Life in Another World-: A Flash of Sloth,2,0,0.99,0,inf
